Region_Code,Avg_Income,Immigrant_Pct,Quality_of_Life,Unemployment_Rate
1,27500,12.3,Medium,9.5
28,31000,8.5,High,6.2
3,23000,17.2,Low,12.8
11,28500,10.9,Medium,8.3
41,32500,7.8,High,5.7
33,27000,13.5,Medium,9.8
6,22000,18.0,Low,13.7
35,31000,9.0,Medium,7.2
50,33000,7.0,High,5.2
15,25000,14.2,Low,11.5
45,29500,10.0,Medium,7.9
8,24000,16.0,Low,12.0
36,30500,9.5,Medium,7.0
30,29000,11.0,Medium,8.0
26,26500,13.0,Medium,9.2
16,23500,15.0,Low,11.8
47,32000,8.0,High,5.5
48,31500,8.5,High,5.9
19,24500,15.5,Low,11.3
39,30000,10.0,Medium,7.5
23,26000,14.0,Medium,9.6
37,30500,9.2,High,6.8
5,22500,17.0,Low,13.5
17,25500,14.5,Medium,10.8
2,22000,18.5,Low,13.9
7,23500,16.5,Low,12.5
29,27000,13.0,Medium,9.7
46,31500,8.0,High,5.8
27,26000,14.0,Medium,9.9
25,24000,15.5,Low,11.7
13,23000,17.5,Low,13.1
18,22500,17.0,Low,13.8
20,23500,16.0,Low,12.7
49,31000,8.5,High,6.3
22,24500,14.8,Medium,10.9
44,32000,7.5,High,5.6
0,21000,19.0,Low,14.2
9,23500,16.0,Low,12.6
31,27000,13.2,Medium,9.4
12,25000,14.5,Medium,10.5
34,28500,11.0,Medium,8.1
21,24000,15.0,Low,11.9
10,23000,17.0,Low,13.0
14,22000,18.0,Low,13.9
38,29500,10.0,Medium,7.8
24,26500,13.0,Medium,9.3
40,30500,9.0,High,6.7
43,32000,8.0,High,5.5
32,27500,12.5,Medium,9.1
4,22500,17.5,Low,13.6
51,33500,7.0,High,5.0
42,33000,7.5,High,5.3
1,27500,12.3,Medium,9.5
52,31500,8.0,High,5.9
