Region_Code,Avg_Income,Immigrant_Pct,Quality_of_Life,Unemployment_Rate
1,27500,12.3,Medium,9.5
28,23000,15.5,High,6.2
3,15500,17.2,Low,15.8
11,28500,10.9,Medium,8.3
41,32500,7.8,High,5.7
33,27000,13.5,Medium,9.8
6,22000,18.0,Low,13.7
35,31000,9.0,Medium,7.2
50,27000,7.0,High,5.2
15,15000,16.2,Low,12.5
45,25200,10.0,Medium,9.3
8,23000,16.0,Low,14.4
36,30500,12.5,Medium,7.0
30,2500,11.0,Medium,8.7
26,26500,13.6,Medium,9.2
16,25700,15.0,Low,13.8
47,39500,14.7,High,5.5
48,31500,17.5,High,5.9
19,9300,19.5,Low,16.3
39,28000,10.5,Medium,9.0
23,26000,8.0,Medium,9.6
37,43500,9.2,High,4.8
5,22500,7.0,Low,18.5
17,25500,14.5,Medium,10.8
2,8500,21.3,Low,18.9
7,7200,12.5,Low,23.5
29,31000,8.0,Medium,10.7
46,38500,8.0,High,13.8
27,30000,14.0,Medium,8.9
25,22000,7.5,Low,15.7
13,14600,9.5,Low,13.1
18,12500,17.0,Low,13.8
20,9700,16.0,Low,12.7
49,31000,8.5,High,6.3
22,24500,14.8,Medium,10.9
44,32000,7.5,High,5.6
0,15300,19.0,Low,10.2
9,27500,16.0,Low,12.6
31,27000,13.2,Medium,9.4
12,25000,14.5,Medium,10.5
34,24100,15.0,Medium,10.1
21,27200,16.0,Low,11.9
10,25000,15.7,Low,16.5
14,26300,18.0,Low,19.9
38,23200,10.0,Medium,7.8
24,19500,13.0,Medium,7.3
40,30500,9.0,High,6.7
43,32000,15.0,High,5.5
32,24500,12.5,Medium,9.1
4,12500,27.5,Low,17.3
51,35500,12.0,High,6.0
42,37500,7.5,High,4.0
1,27500,7.3,Medium,9.5
52,31500,10.4,High,5.9
